Date,Close
8/4/14,1572.75
8/5/14,1577.16
8/6/14,1596.66
8/7/14,1603.43
8/8/14,1608.58
8/11/14,1600.59
8/12/14,1600.9
8/13/14,1601.81
8/14/14,1601.55
8/15/14,1590.11
8/18/14,1581.88
8/19/14,1585.51
8/20/14,1589.34
8/21/14,1564.02
8/22/14,1570.07
8/25/14,1574.14
8/26/14,1576.45
8/27/14,1561.17
8/28/14,1568.15
8/29/14,1567.23
8/31/14,1400.89
9/1/14,1399.5
9/2/14,1550.99
9/3/14,1552.16
9/4/14,1546.82
9/5/14,1548.47
9/8/14,1547.63
9/9/14,1542.5
9/10/14,1533.08
9/11/14,1539.5
9/12/14,1539.61
9/15/14,1538.37
9/16/14,1528.08
9/17/14,1531.02
9/18/14,1512.9
9/19/14,1505.26
9/22/14,1517.61
9/23/14,1525.81
9/24/14,1520.23
9/25/14,1529.16
9/26/14,1528.44
9/29/14,1533.49
9/30/14,1530.46
10/1/14,1529.58
10/2/14,1526.56
10/3/14,1514.39
10/6/14,1514.75
10/7/14,1523.92
10/8/14,1493.06
10/9/14,1519.91
10/10/14,1516.07
10/13/14,1376.75
10/14/14,1535.41
10/15/14,1532.13
10/16/14,1528.03
10/17/14,1532.09
10/20/14,1539.67
10/21/14,1539.45
10/22/14,1535.68
10/23/14,1518.36
10/24/14,1521.79
10/27/14,1521.09
10/28/14,1510.27
10/29/14,1508.5
10/30/14,1479.92
10/31/14,1460
11/3/14,1470.24
11/4/14,1472.27
11/5/14,1443.81
11/6/14,1444.37
11/7/14,1462.39
11/10/14,1458.18
11/11/14,1456.37
11/12/14,1448.91
11/13/14,1456.47
11/14/14,1473.76
11/17/14,1473.94
11/18/14,1485.94
11/19/14,1489.45
11/20/14,1478.98
11/21/14,1477.88
11/24/14,1482.29
11/25/14,1480.91
11/26/14,1478.13
11/27/14,1347.08
11/28/14,1473.8
12/1/14,1509.74
12/2/14,1499.77
12/3/14,1506.76
12/4/14,1507.69
12/5/14,1499.43
12/8/14,1508.9
12/9/14,1545.03
12/10/14,1544.78
12/11/14,1546.61
12/12/14,1544.48
12/15/14,1537.93
12/16/14,1514.13
12/17/14,1514.83
12/18/14,1509.32
12/19/14,1514.62
12/22/14,1499.65
12/23/14,1498.08
12/24/14,1494.54
12/25/14,1368.45
12/26/14,1520.4
12/29/14,1504.07
12/30/14,1523.34
12/31/14,1505.23
1/1/15,1378.56
1/2/15,1529.22
1/5/15,1545.11
1/6/15,1564.92
1/7/15,1552.17
